Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
XBBTE,XBBTE,BARBUY TEAM S.A.,A
XBBTP,XBBTP,BALAJI BUILDING TECHNOLOGIES PVT LTD,I
XBBTT,XBBTT,"BABY TREADS & THREADS, INC.",I
XBBVA,XBBVA,BBVA LEASING S.A. CFC,I
XBCBA,XBCBA,BRANDIX CASUALWEAR BANGLADESH LTD,A
XBCBL,XBCBL,BIRLA CARBON BRASIL LTDA,A
XBCCL,XBCCL,"BENNET,COLEMAN & CO.LTD - HYDERABAD",I
XBCEQ,XBCEQ,BLACK CAT EQUOMENT(SUZHOU)LTD,I
XBCGL,XBCGL,BLUE CHIP GLOBAL LLC,I
XBCIF,XBCIF,"BCIF CO., LTD. QINGDAO BRANCH",I
XBCIM,XBCIM,BRASWOOD COMERCIO INTERNACIONAL DE MADEIRAS,I
XBCIN,XBCIN,BODY CENTRAL STORES INCORPORATED,I
XBCJB,XBCJB,BCJ BEVERAGE COMPANY,I
XBCLI,XBCLI,BCPL LIMITED T/A BY CAPRICE,A
XBCLT,XBCLT,BILCARE LIMITED,I
XBCOL,XBCOL,"BENEVE CO.,LIMITED",A
XBCPL,XBCPL,BLOOM CONCEPT PTE LTD,A
XBCR,XBCR,BANCO CENTRAL DE COSTA RICA,A
XBCRL,XBCRL,BCR LIFESTYLE PTE LTD,A
XBCSU,XBCSU,BALANX-CONSULTING UG,I
XBDAG,XBDAG,BORDERLINE AGENCIAMENTO DE CARGAS LTDA,I
XBDAP,XBDAP,BRANDIX APPAREL LTD,A
XBDCC,XBDCC,BODAL CHEMICALS LTD.,I
XBDCP,XBDCP,GLOBAL SOLUCOES EM LOGISTICA LTDA,I
XBDCR,XBDCR,BODY CARE AUSTRALIA PTY LTD,A
XBDCU,XBDCU,BRANDIX CASUALWEAR LTD,I
XBDDP,XBDDP,BRAND DEVELOPMENT & MANAGEMENT INTL. (BDMI),I
XBDEM,XBDEM,BRASTECH DISTRIBUIDORA EIRELI - ME,A
XBDEQ,XBDEQ,BLACK DIAMOND EQUIPMENT,I
XBDID,XBDID,"BARDWIL INDUSTRIES, INC.",I
XBDIP,XBDIP,BLUE DALE INDIA PRIVATE LIMITED,I
XBDIT,XBDIT,BRADSHAW INTERNATIONAL,I
XBDKS,XBDKS,BILLERUDKORSNAS USA LLC,I
XBDMAG,XBDMAG,BODUM AUSSENHANDELS GMBH,I
XBDMD,XBDMD,BLADE MEDIA PTY LTD,I
XBDPK,XBDPK,"BUDI PERKASA ALAM, PT",I
XBDPL,XBDPL,BDP LOGISTICS KOREA,I
XBDPP,XBDPP,BRANDEXPORTS PHILIPPINES,I
XBDQT,XBDQT,BIRDQUEST LLC,I
XBDRT,XBDRT,"BDR THERMEA HEATING EQUIPMENT (SHANGHAI) CO., LTD.",A
XBDUA,XBDUA,BLACK & DECKER (OVERSEAS)GMBH((DUBAI BRANCH),I
XBEAT,XBEAT,BEST AGENCY (T) LTD.,A
XBEAVI,XBEAVI,BEAVERITE INTERNATIONAL LIMITED.,I
XBEBA,XBEBA,BELLA BATHERS,A
XBECC,XBECC,"BENNETT, COLEMAN & CO",I
XBECL,XBECL,BECRAFTS COMPANY LIMITED,I
XBECO,XBECO,BETAFOAM CORPORATION,A
XBEDE,XBEDE,BEE DEE MANUFACTURING CO.,I
XBEDI,XBEDI,P. S BEDI & CO PVT LTD(ON BEHALF OF SHANDONG XINHUA MEDICAL INSTURMENT,I
XBEEC,XBEEC,"BEN ELDERSON CO.,LTD",I
XBEEE,XBEEE,BE ES EN TRADERS,I
XBEEL,XBEEL,BESTRETCH ELASTOMERS INTL LTD,I
XBEET,XBEET,BEAUTIFUL ENTERPRISE CO. LTD.,I
XBEFI,XBEFI,BEL FIX IMPORTACAO LTDA,A
XBEFZ,XBEFZ,BELLDINE EXPORT FZCO,I
XBEIE,XBEIE,BETESEN IMPORT AND EXPORT(XIAMEN)CO.LTD,I
XBEIN,XBEIN,BEN LINE AGENCIES INDIA PRIVATE LIMITED - AS AGENTS ONLY,I
XBEKE,XBEKE,BENKEL INTERNATIONAL COLOMBO (PVT) LTD,I
XBEKL,XBEKL,BELKIN LIMITED,I
XBEKO,XBEKO,"BEKO THAI CO., LTD.",A
XBELAS,XBELAS,"BST ELASTOMERS CO, LTD",I
XBELC,XBELC,BELCAR S.A.,A
XBELD,XBELD,"BELDEN, INC.",A
XBELE,XBELE,BEST & LESS PTY LTD,I
XBELI,XBELI,BASIC ELECTRIC INDUSTRIAL CO.LTD.,I
XBELLI,XBELLI,BELLIMER BVBA,A
XBEMA,XBEMA,"BELLE MAISON DECOR, INC",I
XBENA,XBENA,BENAAM,I
XBENDU,XBENDU,"BERKAT NIAGA DUNIA,PT",I
XBENF,XBENF,BEN FURNEY FLOUR MILL,I
XCSS,XBEOF,BERWICK OFFRAY LLC,I
XBEPB,XBEPB,BERGER PAINTS BAHRAIN WLL,I
XBEPC,XBEPC,BERNARD PHILKNIT CEYLON (PVT) LTD,I
XBEPO,XBEPO,BENDOTTI EXPORTERS PTY LTD,I
XBERSE,XBERSE,CLIPPER SEAFOODS LIMITED,I
XBESA,XBESA,BODEGAS EUROPEAS SOCIEDAD ANONIMA,I
XBESC,XBESC,BEST CORPORATION PVT LIMITED,I
XBESF,XBESF,"BEST FAME INT'L TRADING CO., LTD.",I
XBESO,XBESO,BERKELEY SOURCING GROUP,I
XBESP,XBESP,BYRNE ELECTRICAL SPECIALISTS,I
XBESS,XBESS,BEST SHIRTS LIMITED,I
XBEST,XBEST,BEIJING SNOW-TOUTS FASHION TEXTILE,I
XBETD,XBETD,BEST TRADING & SERVICE CO.LTD.,I
XBETE,XBETE,BEHSUD TRADING ESTABLISHMENT,I
XBETI,XBETI,"BENLATINA LTDA,IMPORT Y EXPORT",I
XBETIS,XBETIS,BETIS CRAFTS INC.,I
XBETL,XBETL,BEL INTERNATIONAL LOGISTICS,I
XBETO,XBETO,BECHTRANS INTERNATIONAL (S) PTE LTD,I
XBETR,XBETR,BELSTROM,I
XBETT,XBETT,"BERNETTE TEXTILE COMPANY, LLC.",I
XBEYP,XBEYP,BEYONDCOOL PTY LTD,A
XBFBV,XBFBV,BRINKERS FOOD BV,I
XBFFC,XBFFC,BFF CARGO LOGISTICA E COMERCIO EXTERIOR LTDA,I
XBFGT,XBFGT,BFG TECH,I
XBFHC,XBFHC,BELIEF HANDICRAFTS,I
XBFHK,XBFHK,BRAIFORM (HK) LIMITED.,A
XBFIL,XBFIL,BUSINESS FAITH INTERNATIONAL LIMITED,A
XBFIN,XBFIN,BRIGHT FAME INTERNATIONAL,I
XBFJP,XBFJP,BF JADE E-SERVICES PHILIPPINES INC,A
XBFPL,XBFPL,BHALOTIA FABTEX PVT LTD,I
XBFPM,XBFPM,B.F.PACKAGING MTRL TRD L.L.C,A
XBFRD,XBFRD,BAFROID,I
XBFSA,XBFSA,BODENOR FLEXCENTER S.A.,A
XBFTE,XBFTE,BIESTERFELD INTERNATIONAL GMBH,I
XBGBG,XBGBG,BAGOBAG GMBH,I
XBGBL,XBGBL,BIC GRAPHIC BRASIL LTDA,A
XBGCK,XBGCK,BAGTIVE GMBH & CO. KG,A
XBGCP,XBGCP,BOGE COMPRESSOREN ASIA PACIFIC PTE LTD,I
XBGFC,XBGFC,"BAYON GARMENT FACTORY CO.,LTD",I
XBGHP,XBGHP,BRIGHTO PAINTS,I
XBGOC,XBGOC,BE GOOD COMPANY,I
XBGOG,XBGOG,BERGWERFF ORGANIC (I) PVT. LTD.,I
XBGP,XBGP,BGP INTERNATIONAL EQUIPMENT (M.E.) FZE,I
XBGRP,XBGRP,BENTEX GROUP INC.,I
XBGSC,XBGSC,BAGSAC DESIGN PTY LTD,A
XBHART,XBHART,M/S BHARAT TISSUES PVT LTD,I
XBHEH,XBHEH,BUSHRAH EXPORT HOUSE,I
XBHFH,XBHFH,BUSCH FASHION GMBH,I
XBHFM,XBHFM,BEE HIVE FARMS PVT. LTD,I
XBHGS,XBHGS,BHG(SINGAPORE) PTE LTD,A
XBHHP,XBHHP,BISSELL HEALTHY HOME PRODUCTS (SHA)CO. LTD.,A
XBHIB,XBHIB,BEHEIM INTERNATIONAL BRANDS GMBH&CO KG,I
XBHIN,XBHIN,BHARAT INDUSTRIES,I
XBHIS,XBHIS,BELDEN HIRSCHMANN INDUSTRIES (SUZHOU) LTD.,A
XBHLP,XBHLP,BUDSARAKAM HONEY LIMITED PARTNERSHIP,A
XBHSH,XBHSH,BHUSHAN STEEL LIMITED,I
XBHTR,XBHTR,M/S BHAILAL TRIKAMLAL & CO,I
XBHTT,XBHTT,BHATTI INTERNATIONAL TRADERS,I
XBICA,XBICA,BRISAS DEL CARIBE CORP.,I
XBICI,XBICI,BIC INCORPORATED,I
XBICP,XBICP,BIC PRODUCT (THAILAND) LIMITED,I
XBIGA,XBIGA,BIRDS GARMENTS LTD,I
XBIGFT,XBIGFT,BIGFOOT COLOMBIA SAS,A
XBIGS,XBIGS,BIGSTAR MARKETING,A
XBIHA,XBIHA,BRILLIANCE CHINA LTD.,I
XBIHO,XBIHO,BISSELL HEALTHY HOME PRODUCTS (SHENZHEN) CO.LTD,A
XBIIT,XBIIT,B & I INTERNATIONAL LTD,I
XBIKE,XBIKE,BIKE IT.CO.UK.,I
XBIME,XBIME,BRICE METALS AUSTRALIA PTY LTD,I
XBINA,XBINA,BINA MUSICAL STORES,I
XBINP,XBINP,BRIDGESTONE INDIA PRIVATE LTD.,I
XBIOC,XBIOC,BIO CARE AUSTRALIA,A
XBIOF,XBIOF,BIO FOODS (PVT) LTD,I
XBIPI,XBIPI,BIGMATE PHILIPPINES INCORPORATED,I
XBIPL,XBIPL,BISLERI INTERNATIONAL PRIVATE LIMITED,I
XBISA,XBISA,BIRLOS INTERNACIONALES S.A. DE C.V.,A
XBISP,XBISP,BROTHER INTERNATIONAL SINGAPORE PTE LTD,A
XBITE,XBITE,BRIGHT TEAL S.A,I
XBITT,XBITT,BUSH'S INTERNATIONAL PTY LTD.,I
XBITU,XBITU,BIOFUTURO LTDA,I
XBIWE,XBIWE,GIBCA AIR CONDITIONING,I
XBJGM,XBJGM,"BOUJIN(YANGZHOU)GARMENTS CO.,LTD",A
XBJIN,XBJIN,BLACK JACK INDIA PVT LTD,I
XBJLL,XBJLL,BERLI JUCKER LOGISTICS LIMITED,A
XBJMB,XBJMB,"BEIJING MOBIKE TECHNOLOGY CO., LTD",A
XBJMT,XBJMT,BANJO & MATILDA,A
XBJPM,XBJPM,BJ PHARMACEUTICALS,I
XBJPS,XBJPS,BJPS PTY LTD T/A BY JOHNNY,A
XBJTT,XBJTT,"B.J. INTERTRADE CO.,LTD.",I
XBJYT,XBJYT,BEIJING YINYUNHAI T.T. COMPANY,A
XBKCO,XBKCO,B.K. CORPORATION (KOREA),I
XBKEQ,XBKEQ,BUCK EQUIPMENT INC,I
XBKEY,XBKEY,BUSINESS KEY LOGISTIC,I
XBKK,XBKK,BBK JOECKEL GMBH,A
XBKLI,XBKLI,BELKIN INDIA PRIVATE LIMITED,I
XBKMI,XBKMI,BU KWANG MEDICAL INC.,I
XBKPH,XBKPH,BROOKES PHARMA (PVT) LTD,I
XBKTS,XBKTS,BEKOTEKS YAPI SANAYI VE DIS ICARET LTD.STI,A
XBKYM,XBKYM,"BACK KYUNG MARINE CO., LTD",I
XBLAIN,XBLAIN,BLAIN SUPPLY INC,A
XBLAQ,XBLAQ,BLUE AQUA INTERNATIONAL PTE. LTD.,I
XBLAT,XBLAT,BLONDAL ALL- TURF PTE. LTD.,I
XBLBA,XBLBA,BLU BATHWORKS,I
XBLDL,XBLDL,BLOOM DEKOR LIMITED,I
XBLDZ,XBLDZ,BRANDSWAMI LLC DBA ZOOCCHINI,I
XBLEL,XBLEL,"BLUE ELEPHANT BANGKOK CO.,LTD.",I
XBLES,XBLES,BLESS SHIPPING AND LOGISTICS PVT.LTD.,I
XBLEUB,XBLEUB,BLUE BELL SHIPPING L.L.C,I
XBLHS,XBLHS,BEST LIFE HEALTH SERVICES (PVT) LTD,I
XBLHZ,XBLHZ,BLUE HORIZON,I
XBLIC,XBLIC,"B.L. INTERNATIONAL CO., LTD.",I
XBLIN,XBLIN,BLEND INDUSTRIES,A
XBLIZ,XBLIZ,BELLIZ COMPANY,A
XBLJC,XBLJC,BERLI JUCKER CELLOX LIMITED,I
XBLKN,XBLKN,BELKIN INDIA PVT. LTD,I
XBLMA,XBLMA,"BALLOON MARKETING CO., LTD",I
XBLMM,XBLMM,"BOEHM & LECKNER MULTI MOULDS (PVT) LTD,",I
XBLOO,XBLOO,"BLOOMSBURY AUSTRALIA, UNITED BOOK DISTRIBUTION",I
XBLOT,XBLOT,BIG LOTS,I
XBLPI,XBLPI,BLANCOS PILESO SA DE CV,I
XBLPT,XBLPT,BELPORT LIMITED,A
XBLUE,XBLUE,BLUE DEEBAJ FZCO,A
XBLUEF,XBLUEF,BLUE FIN INTERNATIONAL SHIPPING,I
XBLUEW,XBLUEW,BLUEWATER LYNDEN INT'L PTE LTD,I
XBLUP,XBLUP,"BLU PRODUCTS, INC.",I
XBMBY,XBMBY,BOMBAY OVERSEAS,I
XBMCO,XBMCO,BHAWANI MOTOR CO.,I
XBMDC,XBMDC,BOTTINO MATERIAIS DE CONSTRUCAO LTDA.,A
XBMDL,XBMDL,BIBLOMODEL SA DE CV,A
XBMEN,XBMEN,BUMBAI ENTERPRISES,A
XBMFB,XBMFB,BUILDMET FIBRES PVT LTD,I
XBMFF,XBMFF,BLUE MARINE FREIGHT FORWARDERS PVT LTD,I
XBMLOG,XBMLOG,B&M LOGISTICA INTERNACIONAL,I
XBMMI,XBMMI,BRAMONT MONTADORA INDUSTRIA E COM DE VEICULOS S.A,A
XBMST,XBMST,BMS TECHNOLOGY PTY LTD,A
XBMUL,XBMUL,BMU LOGISTICS,I
XBMWG,XBMWG,MMWG HEAVY EQUIPMENT CORP.,I
XBMWM,XBMWM,BMW MANUFACTURING (THAILAND) CO.LTD,I
XBNBS,XBNBS,B N B SWEATER MILLS INC,I
XBNSI,XBNSI,"BOLNUS INDUSTRIAL CO., LTD.",I
XBNSK,XBNSK,B. NATHA SINGH KARAM SINGH (P) LTD.,I
XBNXS,XBNXS,BNX SHIPPING PVT LTD,I
XBOBA,XBOBA,BOMBAS GRUNDFOS DO BRASIL LTDA,A
XBOCO,XBOCO,"BROAD-OCEAN MOTOR(HONGKONG) CO.,LT",I
XBOCP,XBOCP,BOC PAKISTAN LIMITED,I
XBOCR,XBOCR,"BENGBU ORIENT COLD RIVER TRADE CO.,LTD",A
XBODE,XBODE,"BOSCOV'S DEPARTMENT STORE, LLC",I
XBODU,XBODU,BOSSWIN INDUSTRIES LTD,I
XBODY,XBODY,BODYLINE (PVT) LTD - CLS,I
XBOEL,XBOEL,BOARD ELECTRONICS INC.,I
XBOET,XBOET,"BOLIM-EL-TECH CO., LTD.",I
XBOFO,XBOFO,BERGERHOFF FLORISTIK GMBH & CO. KG,I
XBOFP,XBOFP,"BANGKOK  ORGANIC  FOOD  PRODUCTS   CO.,  LTD.,",I
XBOGA,XBOGA,BOROSIL GLASS WORKS LIMITED.,I
XBOHO,XBOHO,BOXING HONGDA ARTS AND CRAFTS,I
XBOIM,XBOIM,BOLLAG INTERNATIONAL MEXICO SA DE CV,I
XBOIN,XBOIN,BONEAL INC.,I
XBOKA,XBOKA,"UNIT A AND B, 8/F. UNISON INDUSTRIAL",I
XBOLI,XBOLI,BOGART LINGERIE LTD,I
XBOLT,XBOLT,"BOAT LIFT, U.S.",I
XBOM,XBOM,BOMBRIL S.A.,A
XBOME,XBOME,BORDER METAL STAMPING,I
XBOMU,XBOMU,BONALDI E MURAKAMI LTDA,A
XBONAP,XBONAP,"BONAPAREL, S.A.",I
XBONYP,XBONYP,BONY POLYMERS PVT LTD,I
XBOOP,XBOOP,BOOP LIMITED,I
XBOPL,XBOPL,BOSE PTY LTD,A
XBOQI,XBOQI,BOUTIQUE INTERNATIONAL PVT LTD,I
XBOSE,XBOSE,BOSE LIMITED,A
XBOTA,XBOTA,BAODING TAYATA TRADING CO.LTD,I
XBOTE,XBOTE,BOKWANG TEXTILE,I
XBOTG,XBOTG,BOTTOMS GALLERY (PVT) LTD.,I
XBOVEA,XBOVEA,BORA OLCU VE EL ALETLERI DIS TIC.LTD.STI.,I
XBOVS,XBOVS,BOVS APPARELS LTD,I
XBOYE,XBOYE,BOND-EYE AUSTRALIA PTY LTD,I
XBPDT,XBPDT,BERK PETROKIMYA DIS TICARET A.S,A
XBPGDL,XBPGDL,BISUTERIA PREMIER GDL S.A. DE C.V.,A
XBPHI,XBPHI,BANGLADESH POU HUNG IND LTD.,A
XBPIA,XBPIA,DO NOT USE / NEW CODE XPBPI,I
XBPIN,XBPIN,BLEND POLYMER INDUSTRIES LLC.,A
XBPL,XBPL,BOROUGE PTE LTD,I
XBPLT,XBPLT,BANBIZ PVT LTD,I
XBPPP,XBPPP,BRIJLAXMI PAPER PRODUCTS PRIVATE LIMITED,I
XBPRO,XBPRO,BRAZIL PRO LOGISTIC LTDA,I
XBPSCI,XBPSCI,"BPS CORES, INC.",I
XBPWT,XBPWT,"BEIJING PAUL WURTH TRADING CO., LTD",I
XBRAB,XBRAB,BROHUSET AB,I
XBRAN,XBRAN,BRANDFARM,A
XBRAXS,XBRAXS,BRAND X LLC,I
XBRAZ,XBRAZ,BIRDS A & Z LTD.,I
XBRBL,XBRBL,BRAWN BIOTECH LTD.,I
XBRCP,XBRCP,BRANAA CURTIDORA DE PIEL SA DE CV,I
XBRCR,XBRCR,B & R COIR PRODUCTS.,I
XBRDD,XBRDD,BRINCA DADA LLC,I
XBRDM,XBRDM,BRADMILL PTY LTD,A
XBREE,XBREE,BREEZE PROJECT (GERMANY) GMBH,I
XBREM,XBREM,BRITISH EMBASSY,I
XBRENO,XBRENO,BRENNTAG NORTH AMERICA,I
XBRFH,XBRFH,BROWN-FORMAN HONG KONG LIMITED,I
XBRIDO,XBRIDO,"BRIDGESTONE (SHENYANG) STEEL CORD CO.,LTD.",I
XBRIL,XBRIL,BRITT LAMINATE INC,I
XBRLA,XBRLA,BARILLA SINGAPORE PTE LTD,A
XBRLI,XBRLI,BR LABELS INDUSTRIA E COMERCIO LTDA,A
XBRLL,XBRLL,BRAWN LABORATORIES LIMITED,I
XBRLP,XBRLP,"BERLEI,PT",I
XBRLT,XBRLT,BRILLIANT IT DISTRIBUTION SDN BHD,A
XBRMC,XBRMC,BRAMCO WLL,A
XBRNV,XBRNV,BRINGTON EUROPE NV,I
XBROA,XBROA,BEIJING ROYAL AVIATION TECHNOLOGIES CO.LTD,I
XBRS,XBRS,BEACH ROCK SRL,A
XBRSC,XBRSC,BRS COMERCIO E INDUSTRIA DE MATERIAL ESPORTIVO S.A.,A
XBRSH,XBRSH,BRIGHT SHIPPING,I
XBRSL,XBRSL,BRANDED SPIRITS LIMITED,A
XBRSP,XBRSP,BRIGHT SKY PTE LTD,I
XBRTC,XBRTC,BROTEC SERVICES,A
XBRTE,XBRTE,BRENNTAG EL SALVADOR S.A DE C.V,I
XBRTI,XBRTI,BRASMARINE TRANSPORTES INTERNACIONAIS LTDA,I
XBRTN,XBRTN,BERTIN S.A.,I
XBRTO,XBRTO,BRT OUTDOOR PTY LTD,I
XBRUIN,XBRUIN,BRULE INCORPORATED,I
XBRUM,XBRUM,XXX,I
XBRUP,XBRUP,BANGKOK RUBBER PUBLIC COMPANY LIMITED,I
XBRUS,XBRUS,BRUEMMER STRAHLMITTEL GMBH&CO KG,I
XBSCL,XBSCL,MADERAS BSC LTDA.,A
XBSCN,XBSCN,BASIC NEEDS,I
XBSDR,XBSDR,BASUNDHARA GARMENTS LIMITED,A
XBSHA,XBSHA,PT BSH HOME APPLIANCES,A
XBSHH,XBSHH,BSH HOME APPLIANCES LIMITED,A
XBSIA,XBSIA,BSI BALANCE SYSTEMS AMESBURY GROUPS,I
XBSIC,XBSIC,"BEIJING STSS INVESTMENT CO.,LTD",A
XBSIF,XBSIF,BEST SERVICES INTERNATIONAL FREIGHT LTD.,I
XBSIP,XBSIP,BRIDGE STONE INDIA PRIVATE LIMITED,I
XBSKL,XBSKL,BANGLADESH SPINNERS & KNITTERS(PVT)LTD,A
XBSML,XBSML,BOSE SYSTEMS MALAYSIA SDN BHD.,A
XBSMS,XBSMS,"BUSINESS MACHINES CO., LTD",I
XBSOC,XBSOC,"BROWN SHOE COMPANY, INC",I
XBSPL,XBSPL,BILLION STAR PTY LTD,I
XBSSA,XBSSA,COMERCIALIZADORA BELLE SECRETE S.A. DE C.V.,A
XBSSC,XBSSC,BHUSHAN STEEL CORPORATION.,I
XBSSS,XBSSS,BAPS SWAMINARAYAN SANSTHA,I
XBSTD,XBSTD,BASHIR TRADERS,I
XBSVF,XBSVF,BEST SERVICES INT'L FREIGHT LTD.ZHONGSHAN BRANCH,I
XBSWL,XBSWL,BETTER SOURCING WORLDWIDE LIMITED,A
XBSYA,XBSYA,BRANCH OF SHENYANG YUANDA ALUMINIUM INDUSTRIES ENGINEERING CO. LTD,I
XBTAF,XBTAF,BEST AMERICAN FORWARDING,I
XBTBC,XBTBC,BHAVI TUBES CONTAINERS PTV.LTD,I
XBTBT,XBTBT,BILTUBE INDUSTRIES LTD,I
XBTCC,XBTCC,BEST CHOICE LTDA,I
XBTCH,XBTCH,BRIGHTNESS CHARMED INTERNATIONAL LTD.,I
XBTCL,XBTCL,"BARTHCDDART CLOBAL LOGISTICS (XIAMEN) CO.,LTD",I
XBTCO,XBTCO,BESTON CORPORATION,I
XBTCS,XBTCS,BRIGHT CARGO SOLUTIONS,I
XBTET,XBTET,"BRIGHT EXPRESS INTERNATIONAL CO.,LTD.",I
XBTHD,XBTHD,BRIGHTWAY HOLDING SDN BHD,I
XBTHR,XBTHR,BANYAN TREE HOTEL AND RESORTS,I
XHEIT,XBTHT,BAXTER HEALTHCARE,I
XBTIC,XBTIC,BROTHER INTERNATIONAL CORPORATION DE ARGENTINA S.R.L.,I
XBTIL,XBTIL,BTI LOGISTICS,I
XBTIT,XBTIT,"BATH-TECH INDUSTRIAL CO., LIMITED",I
XBTIW,XBTIW,BHARAT TIN WORKS,I
XBTLA,XBTLA,"BENTELER AUTOMOTIVE (SHANGHAI) CO., LTD",I
XBTLM,XBTLM,BAIT LAMAS FOR COOLING AND AIR CONDITIONING EST.,A
XBTLO,XBTLO,BTL OVERAEAS BUSINESS CONCERN(HKG),I
XBTLS,XBTLS,"BTL SANKYO GLOBAL CO., LTD.",I
XBTNL,XBTNL,BARTON NELSON,I
XBTOK,XBTOK,"DELTA GROUP ELECTRONICS, INC.",I
XBTPK,XBTPK,BATA PAKISTAN LIMITED,A
XBTPT,XBTPT,BROADTEX (PRIVATE) LIMITED.,I
XBTRA,XBTRA,BESTFORD TRADING LIMITED,A
XBTRG,XBTRG,"BAXTER DE GUATEMALA, S. A.",I
XBTS,XBTS,BERENDSEN TEXTIL SERVICE A/S,A
XBTSP,XBTSP,BATS SINGAPORE PTE LTE,I
XBTSPL,XBTSPL,BRAINTRIM (SINGAPORE) PTE LTD,I
XBTSS,XBTSS,"BAO TOU SHI SHENG LONG TRADE CO.,LTD",I
XBTST,XBTST,BRIGHT STAR LOGISTICS,I
XBTSU,XBTSU,BRITE SOURCE PTE LTD,A
XBTTD,XBTTD,BIOSTADT INDIA LIMITED,I
XBTTI,XBTTI,"XBUN-TECH,TECNOLOGIA EM INSUMOS LTDA.",I
XBTTM,XBTTM,BHANERO TEXTILE MILLS LIMITED,I
XBTTV,XBTTV,BENTARA TRANS WAHANA,I
XBTWE,XBTWE,BEAUTIFUL WINDOW ENT.CO.LTD.,I
XBUAL,XBUAL,BUNGE ALIMENTOS S.A,A
XBUBR,XBUBR,BUILD BRAND,I
XBUBU,XBUBU,BUBBA BLUE,A
XBUDI,XBUDI,BLUE DIMENTIONS FZE,I
XBUEL,XBUEL,BULKPACK EXPORTS LIMITED,I
XBUEP,XBUEP,BUDDHA EXIM PVT.LTD.,I
XBUET,XBUET,BUMBIA ENTERPRIESES,I
XBUGB,XBUGB,"BAUR, GAEBEL GMBH CHEMISCHE FABRIK",I
XBUHI,XBUHI,BURHANI ENTERPRISES,I
XBUIF,XBUIF,BUSHJET INTERNATIONAL FORWARDING (HK)LTD GUANGZHU BRANCH,I
XBULO,XBULO,BUSHNELL OUTDOOR PRODUCTS,I
XBULY,XBULY,BULLYLAND GMBH,I
XBUMA,XBUMA,"BUSINESS MACHINES CO., LTD",I
XBUMU,XBUMU,"BUKIT MURIA JAYA, PT",I
XBUNO,XBUNO,BRUNA CORPORATION,I
XBUOW,XBUOW,BUCKLEY'S OYSTERS OF WAPENGO,I
XBUPA,XBUPA,BUHLER PHARMA S.A,I
XBUPO,XBUPO,BUSINESS PROMOTERS AND PARTNERS PVT LTD,I
XBURTO,XBURTO,BURTS BEES LTD,I
XBUSG,XBUSG,BUSCHERHOFF SOLIQ GMBH,A
XBUSH,XBUSH,BUSHNELL CORPORATION/ BUSHNELL OUTDOOR PRODUCTS,I
XBUTT,XBUTT,BUTT CARGO,I
XBUZO,XBUZO,BUSINESS ZONE INT'L HOLDING CO.,A
XBVBA,XBVBA,ZENDA BVBA,I
XBVCL,XBVCL,BVC LOGISTICS PVT LTD,I
XBVCS,XBVCS,BUREAU VERITAS CONSUMER PRODUCTS SERVICES CAMBODIA LTD,I
XBVEE,XBVEE,BADVE ENGINEERING LTD-IX,I
XBWCK,XBWCK,BROWN AND C N LANKA (PVT) LTD,I
XBWCO,XBWCO,BROWN AND COMPANY PLC,I
XBWIE,XBWIE,BENDER WANAAG IMPORT & EXPORT CO,A
XBWIT,XBWIT,BROWN SHOE INTERNATIONAL SALES AND LICENSING LIMITED,I
XBYCT,XBYCT,BAYS CONNECTION PTE LTD,I
XBYEC,XBYEC,BAYER CORPORATION,I
XBYGG,XBYGG,BYGGING INDIA LIMITED,I
XBYMA,XBYMA,BAYER MATERIAL SCIENCE PRIVATE LIMITED,I
XBYMT,XBYMT,BEIJING YUEHUA MEIDA TRADING CO.LTD,I
XBYPT,XBYPT,M/S.BHAYANI PLASTIC INDIA (P) LTD.,I
XBYTT,XBYTT,BILLY FLATT,I
XBYTY,XBYTY,BEYONICS TECHNOLOGY (SENAI) SDN BHD,I
XBYVT,XBYVT,BODEGAS Y VINEDOS TALAGANTE INTERNATIONAL BRANDS LTDA,A
XBZGE,XBZGE,BUNZLE GROUP EUROPE,I
XBZIT,XBZIT,BIZTECH INTERNATIONAL,I
XBZKM,XBZKM,BITZER KUEHLMASCHINENBAU GMBH,I
XBZTT,XBZTT,"BEIJING ZHONGTIANREIXI TECHNOLOGY CO.,LTD.",I
XB2B,XB2B,B2B UNIVERSAL GMBH,A
XCAAC,XCAAC,CAN AM CENTROAMERICANA S. A.,A
XCAAS,XCAAS,CAPS AND SEAL INDUSTRIES,I
XCABA,XCABA,CABEN ASIA PACIFIC LTD,A
XCABH,XCABH,CAOBA DE HONDURAS,I
XCABOA,XCABOA,CARGO BOAT COMPANY LIMITED,I
XCAC,XCAC,CASTLEWOOD APPAREL CORP.,A
XCACE,XCACE,CARGILLS CEYLON LTD,I
XCACI,XCACI,CAPITOL CIGAR,I
XCACL,XCACL,CANON CHILE S.A.,A
XCACO,XCACO,CABLE CORPORATION OF INDIA LTD.,I
XCACP,XCACP,CANDY CORNER PHILIPPINES,A
XCACS,XCACS,CARGO CONTROL SERVICES,I
XCACT,XCACT,CALIFORNIA CREATIONS,I
XCACU,XCACU,CALENDAR HOLDINGS LLC,I
XCADA,XCADA,CANAMPAK DATES INDUSTRY (PVT) LTD,A
XCADE,XCADE,CASA IDEAS,I
XCADM,XCADM,CARRFIELDS DMCC,A
